Ply,Move,White,Black,Score,Eval,Comment
0,[1],e4,,0.26,0.26,
1,[1],,c6,0.4,-0.14,
2,[2],d4,,0.34,-0.06,
3,[2],,d5,0.31,0.03,
4,[3],Nc3,,0.41,0.1,
5,[3],,dxe4,0.3,0.11,
6,[4],Nxe4,,0.31,0.01,
7,[4],,Bf5,0.37,-0.06,
8,[5],Ng3,,0.32,-0.05,
9,[5],,Bg6,0.27,0.05,
10,[6],h4,,0.06,-0.21,
11,[6],,h6,0.14,-0.08,
12,[7],Nf3,,0.09,-0.05,
13,[7],,Nd7,0.05,0.04,
14,[8],h5,,0.01,-0.04,
15,[8],,Bh7,0.0,0.01,
16,[9],Bd3,,0.04,0.04,
17,[9],,Bxd3,0.05,-0.01,
18,[10],Qxd3,,0.0,-0.05,
19,[10],,Ngf6,-0.06,0.06,
20,[11],Bf4,,-0.08,-0.02,
21,[11],,Qa5+,0.15,-0.23,
22,[12],Bd2,,0.03,-0.12,
23,[12],,Qc7,0.03,0.0,
24,[13],O-O-O,,0.01,-0.02,
25,[13],,e6,0.0,0.01,
26,[14],Ne4,,0.0,0.0,
27,[14],,Be7,0.1,-0.1,
28,[15],Nxf6+,,0.21,0.11,
29,[15],,Bxf6,0.29,-0.08,
30,[16],Qe4,,0.26,-0.03,
31,[16],,O-O-O,0.36,-0.1,
32,[17],Bf4,,0.43,0.07,
33,[17],,Qa5,0.36,0.07,
34,[18],Kb1,,0.44,0.08,
35,[18],,Rhe8,0.51,-0.07,
36,[19],Bg3,,0.65,0.14,
37,[19],,Qf5,0.46,0.19,
38,[20],Qxf5,,0.05,-0.41,
39,[20],,exf5,0.05,0.0,
40,[21],Nh4,,-0.12,-0.17,
41,[21],,Bxh4,-0.2,0.08,
42,[22],Bxh4,,0.0,0.2,
43,[22],,f6,-0.1,0.1,
44,[23],Bg3,,-0.29,-0.19,
45,[23],,Nb6,-0.3,0.01,
46,[24],Rh4,,-0.12,0.18,
47,[24],,Re4,-0.03,-0.09,
48,[25],Rxe4,,0.03,0.06,
49,[25],,fxe4,-0.05,0.08,
50,[26],Re1,,-0.06,-0.01,
51,[26],,Rxd4,0.0,-0.06,
52,[27],c3,,-0.05,-0.05,
53,[27],,Rd5,0.01,-0.06,
54,[28],Rxe4,,0.0,-0.01,
55,[28],,Kd7,0.0,0.0,
56,[29],Rg4,,0.0,0.0,
57,[29],,Rg5,0.0,0.0,
58,[30],Rxg5,,0.0,0.0,
59,[30],,hxg5,-0.05,0.05,
60,[31],Bb8,,0.0,0.05,
61,[31],,a6,-0.03,0.03,
62,[32],Ba7,,-0.05,-0.02,
63,[32],,Nc4,0.0,-0.05,
64,[33],Bd4,,-0.11,-0.11,
65,[33],,Ke6,-0.03,-0.08,
66,[34],Kc2,,-0.06,-0.03,
67,[34],,Kf5,-0.02,-0.04,
68,[35],b3,,-0.03,-0.01,
69,[35],,Ne5,0.0,-0.03,
70,[36],Kd2,,-0.06,-0.06,
71,[36],,Nd7,-0.16,0.1,
72,[37],Ke3,,-2.6,-2.44,Erreur
73,[37],,c5,-2.91,0.31,
